,Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS,season
0,1,Larry Robinson,28,MTL,D,239,46.41,,,,,,14,61,75,38,5.5,5.9,0,11.4,19791980
1,2,Borje Salming,28,TOR,D,117,22.72,,,,,,19,52,71,3,5.5,3.5,0,9.0,19791980
2,3,Jim Schoenfeld,27,BUF,D,85,16.5,,,,,,9,27,36,60,1.9,7.7,0,9.7,19791980
3,4,Ray Bourque,19,BOS,D,51,9.9,,,,,,17,48,65,52,4.7,7.1,0,11.8,19791980
4,5,Mark Howe,24,HAR,D,23,4.47,,,,,,24,56,80,14,6.5,3.6,0,10.1,19791980
5,1,Randy Carlyle,24,PIT,D,120,21.16,,,,,,16,67,83,-16,5.4,3.0,0,8.5,19801981
6,2,Denis Potvin,27,NYI,D,113,19.93,,,,,,20,56,76,39,5.4,5.6,0,11.0,19801981
7,3,Larry Robinson,29,MTL,D,100,17.64,,,,,,12,38,50,47,3.2,6.1,0,9.3,19801981
8,4,Ray Bourque,20,BOS,D,53,9.35,,,,,,27,29,56,29,4.5,5.1,0,9.6,19801981
9,5,Rod Langway,23,MTL,D,38,6.7,,,,,,11,34,45,52,2.4,7.2,0,9.6,19801981
10,7,Larry Murphy,19,LAK,D,16,2.82,,,,,,16,60,76,16,4.9,4.8,0,9.7,19801981
11,8,Rob Ramage,22,CLR,D,15,2.65,,,,,,20,42,62,-47,4.3,2.7,0,7.0,19801981
12,9,Brad Park,32,BOS,D,14,2.47,,,,,,14,52,66,21,4.1,5.2,0,9.3,19801981
13,10,Borje Salming,29,TOR,D,11,1.94,,,,,,5,61,66,0,3.6,3.2,0,6.8,19801981
14,10,Mark Howe,25,HAR,LW,11,1.94,,,,,,19,46,65,9,3.5,1.1,0,4.6,19801981
15,12,Jim Schoenfeld,28,BUF,D,10,1.76,,,,,,8,25,33,27,1.4,5.6,0,7.1,19801981
16,13,Dave Langevin,26,NYI,D,9,1.59,,,,,,1,16,17,40,-0.3,5.7,0,5.4,19801981
17,14,Ron Greschner,26,NYR,D,8,1.41,,,,,,27,41,68,-2,5.3,3.1,0,8.4,19801981
18,15,Bill Hajt,29,BUF,D,5,0.88,,,,,,2,19,21,36,0.2,5.9,0,6.1,19801981
19,15,Stefan Persson,26,NYI,D,5,0.88,,,,,,9,52,61,25,3.4,5.1,0,8.5,19801981
20,15,Kevin McCarthy,23,VAN,D,5,0.88,,,,,,16,37,53,-11,3.3,3.6,0,6.9,19801981
21,18,John Van Boxmeer,28,BUF,D,4,0.71,,,,,,18,51,69,-2,4.5,4.6,0,9.1,19801981
22,18,Reed Larson,24,DET,D,4,0.71,,,,,,27,31,58,-35,4.6,2.7,0,7.2,19801981
23,20,Dave Lewis,27,LAK,D,2,0.35,,,,,,1,12,13,24,-0.4,4.6,0,4.2,19801981
24,21,Risto Siltanen,22,EDM,D,1,0.18,,,,,,17,36,53,4,3.3,3.7,0,7.0,19801981
25,21,Curt Giles,22,MNS,D,1,0.18,,,,,,5,22,27,8,0.9,4.7,0,5.6,19801981
26,21,Rick Lapointe,25,STL,D,1,0.18,,,,,,8,25,33,36,1.2,5.8,0,7.0,19801981
27,1,Doug Wilson,24,CBH,D,177,56.19,29.0,8.0,8.0,,,39,46,85,1,6.9,3.4,0,10.3,19811982
28,2,Ray Bourque,21,BOS,D,80,25.4,8.0,10.0,10.0,,,17,49,66,21,4.5,4.8,0,9.2,19811982
29,3,Paul Coffey,20,EDM,D,55,17.46,4.0,7.0,14.0,,,29,60,89,35,6.3,4.8,0,11.2,19811982
30,4,Craig Hartsburg,22,MNS,D,54,17.14,7.0,5.0,4.0,,,17,60,77,11,4.8,5.0,0,9.8,19811982
31,5,Larry Robinson,30,MTL,D,50,15.87,4.0,9.0,3.0,,,12,47,59,56,3.4,6.5,0,9.9,19811982
32,6,Brian Engblom,27,MTL,D,31,9.84,0.0,8.0,7.0,,,4,29,33,78,1.0,7.9,0,8.9,19811982
33,7,Barry Beck,24,NYR,D,28,8.89,3.0,3.0,4.0,,,9,29,38,20,2.0,4.2,0,6.2,19811982
34,8,Denis Potvin,28,NYI,D,27,8.57,4.0,1.0,4.0,,,24,37,61,39,4.5,4.7,0,9.2,19811982
35,9,Rod Langway,24,MTL,D,24,7.62,2.0,4.0,2.0,,,5,34,39,66,1.7,6.8,0,8.4,19811982
36,10,Kevin Lowe,22,EDM,D,20,6.35,1.0,4.0,3.0,,,9,31,40,45,1.7,5.3,0,7.0,19811982
37,11,John Van Boxmeer,29,BUF,D,6,1.9,0.0,2.0,0.0,,,14,54,68,23,4.2,5.2,0,9.4,19811982
38,12,Ken Morrow,25,NYI,D,5,1.59,1.0,0.0,0.0,,,1,18,19,53,-0.2,6.1,0,6.0,19811982
39,13,Randy Carlyle,25,PIT,D,4,1.27,0.0,1.0,1.0,,,11,64,75,-16,4.4,3.2,0,7.6,19811982
40,13,Borje Salming,30,TOR,D,4,1.27,0.0,1.0,1.0,,,12,44,56,3,3.4,3.3,0,6.6,19811982
41,15,Brad Park,33,BOS,D,1,0.32,0.0,0.0,1.0,,,14,42,56,12,3.4,4.9,0,8.2,19811982
42,15,Mike Ramsey,21,BUF,D,1,0.32,0.0,0.0,1.0,,,7,23,30,18,0.9,5.6,0,6.5,19811982
43,1,Rod Langway,25,WSH,D,180,62.07,24.0,16.0,12.0,,,3,29,32,-2,0.9,4.3,0,5.2,19821983
44,2,Mark Howe,27,PHI,D,155,53.45,13.0,24.0,18.0,,,20,47,67,47,4.5,6.3,0,10.8,19821983
45,3,Ray Bourque,22,BOS,D,139,47.93,19.0,11.0,11.0,,,22,51,73,49,5.5,6.1,0,11.6,19821983
46,4,Doug Wilson,25,CBH,D,29,10.0,2.0,4.0,7.0,,,18,51,69,20,4.7,4.7,0,9.4,19821983
47,5,Paul Coffey,21,EDM,D,24,8.28,0.0,6.0,6.0,,,29,67,96,52,7.4,4.6,0,12.0,19821983
48,6,Charlie Huddy,23,EDM,D,12,4.14,0.0,3.0,3.0,,,20,37,57,61,4.0,5.0,0,9.0,19821983
49,7,Paul Reinhart,23,CGY,D,9,3.1,0.0,2.0,3.0,,,17,58,75,2,5.2,3.8,0,9.0,19821983
50,8,Gordie Roberts,25,MNS,D,6,2.07,0.0,0.0,6.0,,,3,41,44,20,1.7,5.3,0,7.0,19821983
51,8,Mike O'Connell,27,BOS,D,6,2.07,0.0,0.0,6.0,,,14,39,53,43,3.2,6.6,0,9.8,19821983
52,10,Mike Milbury,30,BOS,D,5,1.72,0.0,1.0,4.0,,,9,15,24,23,0.8,5.4,0,6.2,19821983
53,11,Borje Salming,31,TOR,D,1,0.34,0.0,0.0,1.0,,,7,38,45,-5,2.4,3.4,0,5.7,19821983
54,11,Brad Park,34,BOS,D,1,0.34,0.0,0.0,1.0,,,10,26,36,20,1.8,5.2,0,6.0,19821983
55,1,Rod Langway,26,WSH,D,227,73.23,37.0,11.0,9.0,,,9,24,33,14,1.2,6.3,0,7.6,19831984
56,2,Paul Coffey,22,EDM,D,126,40.65,12.0,18.0,12.0,,,40,86,126,52,9.9,4.4,0,14.3,19831984
57,3,Ray Bourque,23,BOS,D,120,38.71,9.0,20.0,15.0,,,31,65,96,51,7.3,7.2,0,14.5,19831984
58,4,Denis Potvin,30,NYI,D,66,21.29,4.0,9.0,19.0,,,22,63,85,54,5.9,6.0,0,12.0,19831984
59,5,Phil Housley,19,BUF,D,4,1.29,0.0,1.0,1.0,,,31,46,77,1,6.1,4.5,0,10.5,19831984
60,6,Charlie Huddy,24,EDM,D,3,0.97,0.0,1.0,0.0,,,8,34,42,52,1.9,4.3,0,6.2,19831984
61,6,Scott Stevens,19,WSH,D,3,0.97,0.0,1.0,0.0,,,13,32,45,25,2.4,6.8,0,9.1,19831984
62,9,Barry Beck,26,NYR,D,2,0.65,0.0,0.0,2.0,,,9,27,36,13,1.6,4.3,0,5.9,19831984
63,10,Mario Marois,26,QUE,D,1,0.32,0.0,0.0,1.0,,,13,36,49,49,2.6,6.1,0,8.7,19831984
64,10,Mark Howe,28,PHI,D,1,0.32,0.0,0.0,1.0,,,19,34,53,30,3.6,4.4,0,8.0,19831984
65,10,Mike Ramsey,23,BUF,D,1,0.32,0.0,0.0,1.0,,,9,22,31,26,1.3,5.6,0,6.9,19831984
66,10,Ken Morrow,27,NYI,D,1,0.32,0.0,0.0,1.0,,,3,11,14,25,-0.1,3.9,0,3.8,19831984
67,1,Paul Coffey,23,EDM,D,223,70.79,32.0,19.0,6.0,,,37,84,121,57,9.5,5.3,0,14.8,19841985
68,2,Ray Bourque,24,BOS,D,136,43.17,12.0,20.0,16.0,,,20,66,86,30,5.9,5.7,0,11.6,19841985
69,3,Rod Langway,27,WSH,D,89,28.25,8.0,10.0,19.0,,,4,22,26,36,0.5,6.4,0,6.9,19841985
70,4,Doug Wilson,27,CBH,D,84,26.67,9.0,11.0,6.0,,,22,54,76,24,5.3,4.8,0,10.1,19841985
71,5,Scott Stevens,20,WSH,D,13,4.13,1.0,0.0,8.0,,,21,44,65,19,4.5,5.6,0,10.0,19841985
72,6,Mark Howe,29,PHI,D,12,3.81,1.0,1.0,4.0,,,18,39,57,51,3.8,6.1,0,9.9,19841985
73,7,Brad Marsh,26,PHI,D,3,0.95,0.0,1.0,0.0,,,2,18,20,41,0.0,5.7,0,5.7,19841985
74,7,Kevin Lowe,25,EDM,D,3,0.95,0.0,1.0,0.0,,,4,21,25,13,0.4,3.0,0,3.4,19841985
75,7,Randy Carlyle,28,WIN,D,3,0.95,0.0,0.0,3.0,,,13,38,51,21,3.1,3.8,0,6.9,19841985
76,10,Reed Larson,28,DET,D,1,0.32,0.0,0.0,1.0,,,17,45,62,6,4.0,3.6,0,7.6,19841985
77,1,Paul Coffey,24,EDM,D,280,93.33,53.0,5.0,0.0,,,48,90,138,61,11.0,5.1,0,16.1,19851986
78,2,Mark Howe,30,PHI,D,172,57.33,7.0,44.0,5.0,,,24,58,82,87,5.7,8.8,0,14.5,19851986
79,3,Larry Robinson,34,MTL,D,43,14.33,0.0,4.0,31.0,,,19,63,82,25,5.5,5.8,0,11.3,19851986
80,4,Ray Bourque,25,BOS,D,25,8.33,0.0,3.0,16.0,,,19,58,77,17,5.1,5.0,0,10.1,19851986
81,5,Rod Langway,28,WSH,D,19,6.33,0.0,4.0,7.0,,,1,17,18,27,-0.1,5.5,0,5.4,19851986
82,6,Dave Babych,24,TOT,D,1,0.33,0.0,0.0,1.0,,,14,55,69,1,4.1,4.1,0,8.2,19851986
83,1,Ray Bourque,26,BOS,D,266,98.52,52.0,2.0,0.0,,,23,72,95,44,7.2,6.4,0,13.6,19861987
84,2,Mark Howe,31,PHI,D,137,50.74,1.0,42.0,6.0,,,15,43,58,57,4.1,6.5,0,10.5,19861987
85,3,Larry Murphy,25,WSH,D,31,11.48,0.0,5.0,16.0,,,23,58,81,25,6.1,5.7,0,11.9,19861987
86,4,Larry Robinson,35,MTL,D,12,4.44,0.0,2.0,6.0,,,13,37,50,24,3.2,5.7,0,9.0,19861987
87,5,Paul Coffey,25,EDM,D,10,3.7,1.0,0.0,5.0,,,17,50,67,13,5.0,2.6,0,7.6,19861987
88,6,Al MacInnis,23,CGY,D,6,2.22,0.0,1.0,3.0,,,20,56,76,20,5.5,4.6,0,10.1,19861987
89,6,Scott Stevens,22,WSH,D,6,2.22,0.0,1.0,3.0,,,10,51,61,15,3.7,5.0,0,8.7,19861987
90,8,Mario Marois,29,WIN,D,5,1.85,0.0,1.0,2.0,,,4,40,44,0,2.0,4.4,0,6.4,19861987
91,9,Rick Green,30,MTL,D,4,1.48,0.0,0.0,4.0,,,1,9,10,-1,-0.7,4.5,0,3.8,19861987
92,10,Ulf Samuelsson,22,HAR,D,3,1.11,0.0,0.0,3.0,,,2,31,33,29,1.1,5.8,0,6.8,19861987
93,11,Rod Langway,29,WSH,D,2,0.74,0.0,0.0,2.0,,,2,25,27,11,0.6,4.8,0,5.4,19861987
94,12,Mike Ramsey,26,BUF,D,1,0.37,0.0,0.0,1.0,,,8,31,39,0,1.9,3.8,0,5.7,19861987
95,12,James Patrick,23,NYR,D,1,0.37,0.0,0.0,1.0,,,10,45,55,13,3.2,4.1,0,7.3,19861987
96,12,Doug Wilson,29,CHI,D,1,0.37,0.0,0.0,1.0,,,16,32,48,15,3.3,3.7,0,6.9,19861987
97,12,Craig Hartsburg,27,MNS,D,1,0.37,0.0,0.0,1.0,,,11,50,61,-2,4.0,3.0,0,7.0,19861987
98,1,Ray Bourque,27,BOS,D,245,77.78,36.0,20.0,5.0,,,17,64,81,34,5.5,6.2,0,11.7,19871988
99,2,Scott Stevens,23,WSH,D,124,39.37,13.0,15.0,14.0,,,12,60,72,14,4.5,5.8,0,10.3,19871988
100,3,Gary Suter,23,CGY,D,80,25.4,8.0,9.0,13.0,,,21,70,91,39,6.7,4.4,0,11.1,19871988
101,4,Brad McCrimmon,28,CGY,D,70,22.22,4.0,13.0,11.0,,,7,35,42,48,1.9,5.1,0,7.0,19871988
102,5,Kevin Lowe,28,EDM,D,24,7.62,2.0,3.0,5.0,,,9,15,24,18,0.9,3.5,0,4.4,19871988
103,6,Chris Chelios,26,MTL,D,10,3.17,0.0,1.0,7.0,,,20,41,61,14,4.5,4.6,0,9.0,19871988
104,7,Paul Coffey,26,PIT,D,5,1.59,0.0,1.0,2.0,,,15,52,67,-1,5.1,1.8,0,6.9,19871988
105,7,James Patrick,24,NYR,D,5,1.59,0.0,1.0,2.0,,,17,45,62,16,4.2,4.8,0,9.0,19871988
106,9,Mark Howe,32,PHI,D,3,0.95,0.0,0.0,3.0,,,19,43,62,23,4.4,4.9,0,9.3,19871988
107,10,Denis Potvin,34,NYI,D,1,0.32,0.0,0.0,1.0,,,19,32,51,26,3.7,4.8,0,8.5,19871988
108,1,Chris Chelios,27,MTL,D,226,71.75,37.0,12.0,5.0,,,15,58,73,35,4.8,6.7,0,11.5,19881989
109,2,Paul Coffey,27,PIT,D,115,36.51,14.0,14.0,3.0,,,30,83,113,-10,8.9,2.1,0,11.0,19881989
110,3,Al MacInnis,25,CGY,D,57,18.1,3.0,10.0,12.0,,,16,58,74,38,5.1,6.1,0,11.1,19881989
111,4,Ray Bourque,28,BOS,D,56,17.78,3.0,8.0,17.0,,,18,43,61,20,4.6,4.8,0,9.4,19881989
112,5,Steve Duchesne,23,LAK,D,30,9.52,2.0,5.0,5.0,,,25,50,75,31,5.7,3.9,0,9.7,19881989
113,6,Brad McCrimmon,29,CGY,D,24,7.62,2.0,4.0,2.0,,,5,17,22,43,0.6,6.0,0,6.5,19881989
114,7,Gary Suter,24,CGY,D,15,4.76,2.0,1.0,2.0,,,13,49,62,26,4.3,4.6,0,8.9,19881989
115,8,Kevin Lowe,29,EDM,D,14,4.44,0.0,4.0,2.0,,,7,18,25,26,0.8,4.8,0,5.6,19881989
116,9,Phil Housley,24,BUF,D,11,3.49,0.0,2.0,5.0,,,26,44,70,6,5.5,3.9,0,9.4,19881989
117,10,Scott Stevens,24,WSH,D,8,2.54,0.0,1.0,5.0,,,7,61,68,1,3.9,4.7,0,8.6,19881989
118,11,Brian Leetch,20,NYR,D,6,1.9,0.0,1.0,3.0,,,23,48,71,8,5.3,3.6,0,9.0,19881989
119,12,Paul Reinhart,29,VAN,D,4,1.27,0.0,1.0,1.0,,,7,50,57,-4,3.4,3.9,0,7.3,19881989
120,13,Craig Ludwig,27,MTL,D,1,0.32,0.0,0.0,1.0,,,3,13,16,33,-0.1,6.2,0,6.1,19881989
121,1,Ray Bourque,29,BOS,D,315,100.0,63.0,0.0,0.0,,,19,65,84,31,6.1,6.4,0,12.5,19891990
122,2,Al MacInnis,26,CGY,D,127,40.32,0.0,38.0,13.0,,,28,62,90,20,7.1,4.9,0,12.1,19891990
123,3,Doug Wilson,32,CHI,D,40,12.7,0.0,7.0,19.0,,,23,50,73,13,5.7,4.1,0,9.7,19891990
124,4,Paul Coffey,28,PIT,D,33,10.48,0.0,7.0,12.0,,,29,74,103,-25,7.9,1.4,0,9.3,19891990
125,5,Phil Housley,25,BUF,D,32,10.16,0.0,7.0,11.0,,,21,60,81,11,5.9,5.3,0,11.2,19891990
126,6,Al Iafrate,23,TOR,D,8,2.54,0.0,2.0,2.0,,,21,42,63,-4,4.8,2.1,0,6.9,19891990
127,7,Mike Ramsey,29,BUF,D,4,1.27,0.0,1.0,1.0,,,4,21,25,21,0.7,5.4,0,6.1,19891990
128,8,Chris Chelios,28,MTL,D,3,0.95,0.0,1.0,0.0,,,9,22,31,20,1.9,4.1,0,6.0,19891990
129,9,Paul Cavallini,24,STL,D,2,0.63,0.0,0.0,2.0,,,8,39,47,38,2.5,6.3,0,8.8,19891990
130,10,Craig Ludwig,28,MTL,D,1,0.32,0.0,0.0,1.0,,,1,15,16,24,-0.2,5.4,0,5.2,19891990
131,10,Brian Leetch,21,NYR,D,1,0.32,0.0,0.0,1.0,,,11,45,56,-18,3.5,3.4,0,6.9,19891990
132,10,Jamie Macoun,28,CGY,D,1,0.32,0.0,0.0,1.0,,,8,27,35,34,1.6,5.7,0,7.3,19891990
133,1,Ray Bourque,30,BOS,D,257,77.88,35.0,27.0,1.0,,,21,73,94,33,7.6,5.6,0,13.2,19901991
134,2,Al MacInnis,27,CGY,D,228,69.09,27.0,28.0,9.0,,,28,75,103,42,8.6,5.5,0,14.1,19901991
135,3,Chris Chelios,29,CHI,D,56,16.97,2.0,9.0,19.0,,,12,52,64,23,4.4,5.9,0,10.2,19901991
136,4,Brian Leetch,22,NYR,D,30,9.09,2.0,0.0,20.0,,,16,72,88,2,6.6,4.0,0,10.5,19901991
137,5,Paul Coffey,29,PIT,D,8,2.42,0.0,0.0,8.0,,,24,69,93,-18,7.4,1.5,0,8.9,19901991
138,6,Kevin Hatcher,24,WSH,D,7,2.12,0.0,1.0,4.0,,,24,50,74,-10,5.9,4.4,0,10.2,19901991
139,7,Scott Stevens,26,STL,D,6,1.82,0.0,1.0,3.0,,,5,44,49,23,2.5,4.9,0,7.5,19901991
140,8,James Patrick,27,NYR,D,2,0.61,0.0,0.0,2.0,,,10,49,59,-5,3.9,3.3,0,7.2,19901991
141,1,Brian Leetch,23,NYR,D,335,97.1,65.0,3.0,1.0,,,22,80,102,25,8.1,5.1,0,13.2,19911992
142,2,Ray Bourque,31,BOS,D,112,32.46,3.0,25.0,22.0,,,21,60,81,11,6.3,5.0,0,11.2,19911992
143,3,Phil Housley,27,WIN,D,82,23.77,0.0,21.0,19.0,,,23,63,86,-5,6.9,4.4,0,11.3,19911992
144,4,Scott Stevens,27,NJD,D,44,12.75,1.0,9.0,12.0,,,17,42,59,24,4.6,4.6,0,9.2,19911992
145,5,Larry Murphy,30,PIT,D,37,10.72,0.0,9.0,10.0,,,21,56,77,33,6.0,4.6,0,10.5,19911992
146,6,Chris Chelios,30,CHI,D,8,2.32,0.0,2.0,2.0,,,9,47,56,24,3.4,6.4,0,9.8,19911992
147,7,Kevin Hatcher,25,WSH,D,2,0.58,0.0,0.0,2.0,,,17,37,54,18,3.9,4.8,0,8.6,19911992
148,8,Al MacInnis,28,CGY,D,1,0.29,0.0,0.0,1.0,,,20,57,77,13,6.1,3.5,0,9.6,19911992
149,1,Chris Chelios,31,CHI,D,201,80.4,33.0,10.0,6.0,,,15,58,73,14,4.8,6.3,0,11.1,19921993
150,2,Ray Bourque,32,BOS,D,97,38.8,6.0,19.0,10.0,,,19,63,82,38,5.9,6.3,0,12.2,19921993
151,3,Larry Murphy,31,PIT,D,93,37.2,9.0,11.0,15.0,,,22,63,85,45,6.2,6.2,0,12.4,19921993
152,4,Kevin Hatcher,26,WSH,D,17,6.8,0.0,5.0,2.0,,,34,45,79,-7,6.6,4.0,0,10.6,19921993
153,5,Phil Housley,28,WIN,D,16,6.4,1.0,2.0,5.0,,,18,79,97,-14,6.8,2.9,0,9.8,19921993
154,6,Al Iafrate,26,WSH,D,10,4.0,0.0,2.0,4.0,,,25,41,66,15,5.0,5.2,0,10.2,19921993
155,7,Steve Duchesne,27,QUE,D,5,2.0,1.0,0.0,0.0,,,20,62,82,15,6.0,4.4,0,10.4,19921993
156,7,Gary Suter,28,CGY,D,5,2.0,0.0,0.0,5.0,,,23,58,81,-1,6.1,3.8,0,9.9,19921993
157,9,Paul Coffey,31,TOT,D,4,1.6,0.0,1.0,1.0,,,12,75,87,16,5.6,4.1,0,9.7,19921993
158,10,Scott Stevens,28,NJD,D,1,0.4,0.0,0.0,1.0,,,12,45,57,14,3.5,4.8,0,8.3,19921993
159,10,Ulf Samuelsson,28,PIT,D,1,0.4,0.0,0.0,1.0,,,3,26,29,36,0.8,5.4,0,6.2,19921993
160,1,Ray Bourque,33,BOS,D,199,73.7,26.0,21.0,6.0,,,20,71,91,26,7.8,5.7,0,13.5,19931994
161,2,Scott Stevens,29,NJD,D,195,72.22,24.0,23.0,6.0,,,18,60,78,53,6.3,6.9,0,13.2,19931994
162,3,Al MacInnis,30,CGY,D,60,22.22,4.0,6.0,22.0,,,28,54,82,35,7.7,5.5,0,13.3,19931994
163,4,Sergei Zubov,23,NYR,D,15,5.56,0.0,2.0,9.0,,,12,77,89,20,6.9,5.6,0,12.5,19931994
164,5,Brian Leetch,25,NYR,D,10,3.7,0.0,2.0,4.0,,,23,56,79,28,6.8,6.4,0,13.3,19931994
165,6,Chris Chelios,32,CHI,D,3,1.11,0.0,0.0,3.0,,,16,44,60,12,4.7,5.0,0,9.7,19931994
166,7,Paul Coffey,32,DET,D,1,0.37,0.0,0.0,1.0,,,14,63,77,28,6.0,4.4,0,10.3,19931994
167,8,Nicklas Lidstrom,23,DET,D,1,0.37,0.0,0.0,1.0,,,10,46,56,43,3.8,5.4,0,9.2,19931994
168,9,Sandis Ozolinsh,21,SJS,D,1,0.37,0.0,0.0,1.0,,,26,38,64,16,5.8,5.3,0,11.2,19931994
169,10,Larry Murphy,32,PIT,D,1,0.37,0.0,0.0,1.0,,,17,56,73,10,5.7,4.0,0,9.7,19931994
170,1,Paul Coffey,33,DET,D,69,92.0,12.0,3.0,0.0,,,14,44,58,18,5.5,3.5,0,9.0,19941995
171,2,Chris Chelios,33,CHI,D,39,52.0,2.0,9.0,2.0,,,5,33,38,17,2.9,4.0,0,6.9,19941995
172,3,Ray Bourque,34,BOS,D,20,26.67,1.0,1.0,12.0,,,12,31,43,3,4.1,3.1,0,7.2,19941995
173,4,Larry Murphy,33,PIT,D,7,9.33,0.0,2.0,3.0,,,13,25,38,12,3.6,2.1,0,5.7,19941995
174,5,Steve Duchesne,29,STL,D,0,0.0,0.0,0.0,0.0,,,12,26,38,29,3.6,3.4,0,7.0,19941995
175,5,Brian Leetch,26,NYR,D,0,0.0,0.0,0.0,0.0,,,9,32,41,0,3.6,2.8,0,6.4,19941995
176,1,Chris Chelios,34,CHI,D,408,75.56,22.0,19.0,9.0,3.0,1.0,14,58,72,25,5.7,5.6,0,11.3,19951996
177,2,Ray Bourque,35,BOS,D,403,74.63,23.0,16.0,8.0,7.0,0.0,20,62,82,31,7.4,5.7,0,13.0,19951996
